Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
messages,メッセージ群,messages is the base feature of all FlowUsages.,messages is the base feature of all FlowUsages.,9.2.9.2.5,SysML2,9.2
MessageTransfer (KerML),メッセージ転送 (KerML),A MessageTransfer is a Transfer that does not specify where the payload is picked up and dropped off (see FlowTransfer). They are sent by SendPerformances and accepted by AcceptPerformances.,A MessageTransfer is a Transfer that does not specify where the payload is picked up and dropped off (see FlowTransfer).,9.2.7.2.6,KerML1,7.16
metaclass,メタクラス,"Names of metaclasses appear exactly as in the abstract syntax, including capitalization, except possibly with added pluralization. When used as English common nouns, e.g., ""a Usage"", ""multiple Subsettings"", they refer to instances of the metaclass.","Names of metaclasses appear exactly as in the abstract syntax, including capitalization, except possibly with added pluralization.",8.1,SysML2,8.1
metaclass,メタクラス,"A metaclass is declared like a structure (see [KerML, 7.4.4]), but using the keyword metaclass.",metaclass SecurityRelated;,7.4.13,KerML1,7.4
metadata,メタデータ,"Metadata is additional information on elements of a model that does not have any instance-level semantics (in the sense described in [KerML, 7.3.1]).","Metadata is additional information on elements of a model that does not have any instance-level semantics (in the sense described in [KerML, 7.3.1]).",7.4.13,KerML1,7.4
Metadata,メタデータ,"Metadata is additional information on elements of a model that does not have any instance-level semantics (in the sense described in [KerML, 7.3.1 ]).",A metadata usage is a kind of annotating element (see 7.4 ) that allows for the definition of structured metadata with modeler-specified attributes.,7.27.1,SysML2,7.27
metadata (keyword),メタデータ (キーワード),"A metadata usage is declared like an item usage (see 7.10 ) using the keyword metadata (or the symbol @) followed by the keyword defined by (or the symbol :) and the qualified name of exactly one metadata definition or KerML Metaclass (see [KerML], 7.4.13).","metadata ApprovalAnnotation about Design { approved = true; approver = ""John Smith""; }",7.27.2,SysML2,7.27
Metadata annotation,メタデータ注釈,"Such a keyword can be used in package, dependency, definition and usage declarations. The user-defined keyword is placed immediately before the language-defined (reserved) keyword for the declaration and specifies a metadata annotation of the declared element.",#SecurityRelated #situation def Vulnerability;,7.27.4,SysML2,7.27
metadata def,メタデータ定義 (キーワード),"A metadata definition is declared like an item definition (see 7.10 ), but using the keyword metadata def.",metadata def SecurityRelated;,7.27.2,SysML2,7.27
Metadata definition,メタデータ定義,A metadata usage is defined by a single metadata definition.,"If the definition has no nested features itself, then the metadata usage simply acts as a user-defined syntactic tag on the annotated element.",7.27.1,SysML2,7.27
Metadata Definition (semantics),メタデータ定義 (意味論),A MetadataDefinition is a kind of ItemDefinition and a kind of KerML Metaclass.,"The checkMetadataDefinitionSpecialization constraint requires that a MetadataDefinition specialize the base MetadataDefinition Metadata::MetadataItem (see 9.2.21.2.1 ), which subclassifies Items::Item (see 9.2.3.2.1 ) and the kernel Metaclass Metaobjects::Metaobject (see [KerML, 9.2.16]).",8.4.23.1,SysML2,8.4
Metadata Domain Library,メタデータドメインライブラリ,The Metadata Domain Library contains library models of generally useful metadata that can be used to annotate model elements (see 7.4).,The Metadata Domain Library contains library models of generally useful metadata that can be used to annotate model elements (see 7.4).,9.3.1,SysML2,9.3
Metadata Domain Library,メタデータドメインライブラリ,The Metadata Domain Library contains models of attribute definitions for a useful set of standard metadata annotations (see 9.3 ; see also 7.4 on Annotations).,The Metadata Domain Library contains models of attribute definitions for a useful set of standard metadata annotations (see 9.3 ; see also 7.4 on Annotations).,9.1,SysML2,9.1
metadata feature,メタデータフィーチャ,"A metadata feature is syntactically a feature (see [KerML, 7.3.4]) that is typed by a single metaclass, which is a kind of structure (see [KerML, 7.4.4]), with implicit multiplicity 1..1.","Specific kinds of annotating elements include comments and textual representations (see [KerML, 7.2.4.2] and [KerML, 7.2.4.3]). A further kind of annotating element for user-defined metadata is defined in the Kernel layer (see [KerML, 7.4.13]).",7.4.13,KerML1,7.4
metadata keyword,`metadata`キーワード,"A metadata feature is declared using the keyword metadata (or the symbol @), optionally followed by a short name and/or name, followed by the keyword typed by (or the symbol :) and the qualified name of exactly one metaclass.",metadata SecurityAnnotation : SecurityRelated about SecurityDesign;,7.4.13,KerML1,7.4
Metadata usage,メタデータ使用,A metadata usage is a kind of annotating element (see 7.4 ) that allows for the definition of structured metadata with modeler-specified attributes.,A metadata usage is defined by a single metadata definition.,7.27.1,SysML2,7.27
Metadata Usage (semantics),メタデータ使用 (意味論),A MetadataUsage is a kind of ItemUsage and a kind of KerML MetadataFeature.,"The checkMetadataUsageSpecialization constraint requires that a MetadataUsage specialize the base MetadataUsage Metadata::metadataItems (see 9.2.21.2.2 ), which is defined by Metadata::MetadataItem (see 9.2.21.2.1 ) and subsets Items::items (see 9.2.3.2.2 ) and the kernel Feature Metaobjects::metaobjects (see [KerML, 9.2.16]).",8.4.23.2,SysML2,8.4
MetadataItem,メタデータアイテム,MetadataItem is the most general class of Items that represent Metaobjects.,MetadataItem is the base type of all MetadataDefinitions.,9.2.21.2.1,SysML2,9.2
metadataItems,メタデータアイテム群,metadataItems is the base feature of all MetadataUsages.,metadataItems is the base feature of all MetadataUsages.,9.2.21.2.2,SysML2,9.2
Metamodel,メタモデル,"A model that defines the SysML language, specified as an extension of the Kernel metamodel.","SysML v2, on the other hand, is specified as a metamodel extending the Kernel metamodel from the Kernel Modeling Language [KerML].",6.1,SysML2,6
metaproperty,メタプロパティ,"Names of properties of metaclasses, when used as English common nouns, e.g., “an ownedUsage”, “multiple nestedActions”, refer to values of the properties. This can be modified using the term ""metaproperty"" as necessary to refer to the metaproperty itself instead of its values.","This can be modified using the term ""metaproperty"" as necessary to refer to the metaproperty itself instead of its values...",8.1,SysML2,8.1
micro,マイクロ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,micro μ 10-6,9.8.5.1,SysML2,9.8
micro,マイクロ,"(No explicit description, but implied as a UnitPrefix for 10^-6)","Name: micro, Symbol: μ, Value: 10^-6",9.8.5.2,SysML2,9.4
milli,ミリ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,milli m 10-3,9.8.5.1,SysML2,9.8
milli,ミリ,"(No explicit description, but implied as a UnitPrefix for 10^-3)","Name: milli, Symbol: m, Value: 10^-3",9.8.5.2,SysML2,9.4
MinimizeObjective,最小化目標,A MinimizeObjective is a TradeStudyObjective that requires that the selectedAlternative have the minimum EvaluationFunction value of all the given alternatives.,A MinimizeObjective is a TradeStudyObjective that requires that the selectedAlternative have the minimum EvaluationFunction value of all the given alternatives.,9.4.5.2.3,SysML2,9.4
Model Interchange Conformance,モデル交換適合性,"A tool demonstrating model interchange conformance can import and/ or export syntactically conformant SysML models (as defined above) as a project interchange file as specified in [KerML, Clause 10], with the following further conditions:","4. Model Interchange Conformance. A tool demonstrating model interchange conformance can import and/ or export syntactically conformant SysML models (as defined above) as a project interchange file as specified in [KerML, Clause 10], with the following further conditions: ◦ The project interchange file shall use the standard .kpar (KerML Project Archive) extension. ◦ All model interchange files in the project interchange file shall be SysML models. Textual notation files shall use the extension .sysml. ◦ The metadata for the project interchange file shall identify the metamodel using the normative SysML metamodel URI as given for this specification (i.e., https://www.omg.org/spec/SysML/yymmnn, where yymmnn is the current date-based version identifier).",2,SysML2,2
Model libraries,モデルライブラリ,"A set of models defined in SysML itself, extending the Kernel Library to provide systems-modeling-specific semantics and domain-specific models.",Clause 9 specifies a set of model libraries defined in SysML itself. The Systems Library extends the Kernel Library from [KerML] in order to provide systems-modeling-specific semantics to SysML language constructs.,6.2,SysML2,6
Model Library,モデルライブラリ,A model library is a collection of library models that can be reused across many user models.,"The SysML model libraries are an integral part of the language. The Systems Model Library (see 9.2 ) is used any time a Definition or Usage element is instantiated in a user model, providing a bridge to the semantic models in the Kernel Model Library [KerML, Clause 8].",9.1,SysML2,9.1
model-based systems engineering (MBSE),モデルベースシステムズエンジニアリング (MBSE),SysML is a general-purpose modeling language for modeling systems that is intended to facilitate a model-based systems engineering (MBSE) approach to engineer systems.,It provides the capability to create and visualize models that represent many different aspects of a system.,1,SysML2,1
Model-Based Systems Engineering (MBSE),モデルベースシステムズエンジニアリング (MBSE),An approach to engineer systems that is intended to facilitate a model-based systems engineering (MBSE) approach to engineer systems.,SysML is a general-purpose modeling language for modeling systems that is intended to facilitate a model-based systems engineering (MBSE) approach to engineer systems.,6.1,SysML2,6
Multicausation,多重因果関係,A Multicausation connection models the situation in which one set of occurrences causes another. All causes must at least exist before all effects.,A Multicausation connection models the situation in which one set of occurrences causes another.,9.5.2.5,SysML2,9.5
Multicausation,多重因果関係,A Multicausation connection models the situation in which one set of occurrences causes another. All causes must at least exist before all effects.,A Multicausation connection models the situation in which one set of occurrences causes another.,9.5.2.2.5,SysML2,9.4
multicausations,多重因果関係使用,multicausations is the base feature for Multicausation ConnectionUsages.,multicausations is the base feature for Multicausation ConnectionUsages.,9.5.2.2.6,SysML2,9.4
multicausations,多重因果関係 (使用),multicausations is the base feature for Multicausation ConnectionUsages.,multicausations is the base feature for Multicausation ConnectionUsages.,9.5.2.6,SysML2,9.5
MulticausationSemanticMetadata,多重因果関係セマンティックメタデータ,MulticausationMetadata (short name multicausation) is SemanticMetadata for a Multicausation connection.,MulticausationMetadata (short name multicausation) is SemanticMetadata for a Multicausation connection.,9.5.3.2.5,SysML2,9.4
MulticausationSemanticMetadata,多重因果関係セマンティックメタデータ,MulticausationMetadata (short name multicausation) is SemanticMetadata for a Multicausation connection.,MulticausationMetadata (short name multicausation) is SemanticMetadata for a Multicausation connection.,9.5.3.2.5,SysML2,9.5
Multiplicity,多重度,"A usage may have a multiplicity that constrains its cardinality, that is, the allowed number of values it may have for any instance of its featuring definition or usage.","A usage may have a multiplicity that constrains its cardinality, that is, the allowed number of values it may have for any instance of its featuring definition or usage.",7.6.3,SysML2,7.6
Multiplicity range,多重度範囲,"A multiplicity range is written in the form [lowerBound..upperBound], where each of lowerBound and upperBound is either a literal or the identification of a usage.","A multiplicity range is written in the form [lowerBound..upperBound], where each of lowerBound and upperBound is either a literal or the identification of a usage.",7.6.3,SysML2,7.6
name,名前,(Implicit from context) A descriptive identifier for an element.,"Instead, an element can be given a name and/or a short name, and it can also have any number of alias names relative to one or more namespaces (see 7.5 ).",7.2.2,SysML2,7.2-7.3
Name resolution,名前解決,The process of determining the element that is identified by a qualified name.,Name resolution is the process of determining the element that is identified by a qualified name.,7.5.1,SysML2,7.5
Namespace,名前空間,"A Namespace is an Element that contains other Elements, known as its members, via Membership Relationships with those Elements. The members of a Namespace may be owned by the Namespace, aliased in the Namespace, or imported into the Namespace via Import Relationships.","A Namespace is an Element that contains other Elements, known as its members, via Membership Relationships with those Elements.",8.3.5.2,SysML2,8.3
Namespace,名前空間,A namespace is a kind of element that can contain other elements and provide names for them.,A namespace is a kind of element that can contain other elements and provide names for them.,7.5.1,SysML2,7.5
namespace import,名前空間インポート,"An import that specifies a namespace to be imported, identified by a qualified name suffixed by ""::*"", resulting in all visible memberships of the imported namespace becoming imported memberships.","If the qualified name in an import is further suffixed by ""::*"", then then this specifies a namespace import in which the qualified name identifies the imported namespace.",7.5.3,SysML2,7.5
NamespaceImport,名前空間インポート,An import of all visible memberships from a namespace.,`NamespaceImport = importedNamespace = [QualifiedName] '::' '*' ( '::' isRecursive ?= '**' )?`,8.2.2.5.1,SysML2,8.2
NamespaceImport,名前空間インポート,"A NamespaceImport is an Import that imports Memberships from its importedNamespace into the importOwningNamespace. If isRecursive = false, then only the visible Memberships of the importedNamespace are imported. If isRecursive = true, then, in addition, Memberships are recursively imported from any ownedMembers of the importedNamespace that are Namespaces.",A NamespaceImport is an Import that imports Memberships from its importedNamespace into the importOwningNamespace.,8.3.5.5,SysML2,8.3
Namespaces,名前空間,"Namespaces that contain and name elements, and, particularly, packages used to organize the elements in a model (see 7.5 ).","SysML directly uses the following concepts from KerML: Namespaces that contain and name elements, and, particularly, packages used to organize the elements in a model (see 7.5 ).",7.1,SysML2,7.1
nano,ナノ,"(No explicit description, but implied as a UnitPrefix for 10^-9)","Name: nano, Symbol: n, Value: 10^-9",9.8.5.2,SysML2,9.4
nano,ナノ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,nano n 10-9,9.8.5.1,SysML2,9.8
Negated,否定された,A negated assert constraint usage can be used to assert that some condition must never happen if the model is logically consistent.,assert not constraint { computedMass < 0[kg] },7.20.1,SysML2,7.20
negatedConstraintChecks,否定済み制約チェック,negatedConstraintChecks is the subset of constraintChecks for ConstraintChecks asserted to be false.,negatedConstraintChecks is the subset of constraintChecks for ConstraintChecks asserted to be false.,9.2.13.2.4,SysML2,9.2
Non-unique,非一意,"If a usage is non-unique, then the same value may appear more than once as a value of the usage.","nonunique – If a usage is non-unique, then the same value may appear more than once as a value of the usage.",7.6.3,SysML2,7.6
Normative specification,規範的仕様,The binding specification that defines the SysML metamodel and is essential for implementing the language.,Clause 8 provides the normative specification of the metamodel that defines the SysML language.,6.2,SysML2,6
null expression,ヌル式,"A null expression is notated by the keyword null. A null expression always evaluates to a result of ""no values"", which is equivalent to the empty sequence ().""",,7.4.9.1,KerML1,7.19
nullTransformation,ヌル変換使用,"(No explicit description, but implied as a feature for NullTransformation)",General Types: NullTransformation. Features: None.,9.8.3.2.21,SysML2,9.4
NullTransformation,ヌル変換,NullTransformation is an AffineTransformationMatrix3d that places the target CoordinateFrame at the same position and orientation as the source CoordinateFrame.,NullTransformation is an AffineTransformationMatrix3d that places the target CoordinateFrame at the same position and orientation as the source CoordinateFrame.,9.8.3.2.20,SysML2,9.4
NullTransformation,ヌル変換,NullTransformation is an AffineTransformationMatrix3d that places the target CoordinateFrame at the same position and orientation as the source CoordinateFrame.,NullTransformation is an AffineTransformationMatrix3d that places the target CoordinateFrame at the same position and orientation as the source CoordinateFrame.,9.8.3.2.20,SysML2,9.8
obj,目的,A check of whether the objective RequirementUsage was satisfied for this Case.,obj : RequirementCheck,9.2.15.2.1,SysML2,9.2
obj (VerificationCase),目的 (検証ケース),"The objective of this VerificationCase, whose subject is bound to the subject of the VerificationCase and whose requirementVerifications are bound to the requirementVerifications of the VerificationCase.",obj : VerificationCheck {redefines obj},9.2.17.2.3,SysML2,9.2
objective (of a case),(ケースの)目的,The objective of a case is modeled as a requirement usage to be satisfied by the performance of the case.,case def FaultRecovery { subject system : AutomationSystem; actor engineer : Person; objective { doc /* The engineer determines the cause of the system fault and resolves it returning the system to nominal operation. */ } },7.22.1,SysML2,7.22
Occurrence,事象,An occurrence definition is a definition of a class of occurrences that have an extent in time and may have spatial extent.,An occurrence definition is a definition of a class of occurrences that have an extent in time and may have spatial extent.,7.9.1,SysML2,7.9
Occurrence,オカレンス,The modeling of occurrences with temporal and spatial extent.,"The modeling of occurrences with temporal and spatial extent. Temporal extent enables an occurrence to be represented at specific points in time, over a duration in time, or over an entire lifetime. Spatial extent enables an occurrence to be represented at a position and orientation with respect to a coordinate frame, and to have a shape and size (see 7.9 ).",7.6.1,SysML2,7.6
Occurrence Definition,事象定義,An occurrence definition is a definition of a class of occurrences that have an extent in time and may have spatial extent.,An occurrence definition is a definition of a class of occurrences that have an extent in time and may have spatial extent.,7.9.1,SysML2,7.9
Occurrence Definition (semantics),オカレンス定義 (意味論),An OccurrenceDefinition is a kind of Definition and a kind of KerML Class.,"The kernel checkClassSpecialization constraint requires that it specialize the base Class Occurrences::Occurrence from the Kernel Semantic Library (see [KerML, 9.2.4]).",8.4.5.1,SysML2,8.4
occurrence definition or usage (owner of attribute usage),オカレンス定義または使用 (属性使用の所有者),"However, the owner of an attribute usage may be an occurrence definition or usage (or a specialized kind of occurrence, such as an item, part or action).","However, the owner of an attribute usage may be an occurrence definition or usage (or a specialized kind of occurrence, such as an item, part or action).",7.7.1,SysML2,7.7
Occurrence Usage,事象利用,An occurrence usage is a usage of an occurrence definition.,An occurrence usage is a usage of an occurrence definition.,7.9.1,SysML2,7.9
Occurrence Usage (semantics),オカレンス使用 (意味論),An OccurrenceUsage is a kind of Usage that is syntactically required to be defined only by Classes (including OccurrenceDefinitions).,"checkOccurrenceUsageSpecialization requires that it specialize the Feature Occurrences::occurrences from the Kernel Model Library (see [KerML, 9.2.4]), which is typed by Occurrences::Occurrence.",8.4.5.2,SysML2,8.4
Occurrences,オカレンス,"The modeling of occurrences with temporal and spatial extent. Temporal extent enables an occurrence to be represented at specific points in time, over a duration in time, or over an entire lifetime. Spatial extent enables an occurrence to be represented at a position and orientation with respect to a coordinate frame, and to have a shape and size (see 7.9 ).","The modeling of occurrences with temporal and spatial extent. Temporal extent enables an occurrence to be represented at specific points in time, over a duration in time, or over an entire lifetime. Spatial extent enables an occurrence to be represented at a position and orientation with respect to a coordinate frame, and to have a shape and size (see 7.9 ).",7.1,SysML2,7.1
one,1 (単位),"(No explicit description, but implied as a feature for DimensionOneUnit)",General Types: DimensionOneUnit. Features: None.,9.8.3.2.22,SysML2,9.4
open,オープン,Status is open.,open,9.3.2.2.5,SysML2,9.3
Ordered,順序付き,"If a usage is ordered, then the values of the usage can be placed in order, indexed from 1 to the number of values.","ordered – If a usage is ordered, then the values of the usage can be placed in order, indexed from 1 to the number of values.",7.6.3,SysML2,7.6
OrdinalScale,順序尺度,"An OrdinalScale is a MeasurementScale that represents an ordinal measurement scale, i.e. a scale on which only the ordering of quantity values is meaningful, not the intervals between any pair of values and neither their ratio.","An OrdinalScale is a MeasurementScale that represents an ordinal measurement scale, i.e. a scale on which only the ordering of quantity values is meaningful, not the intervals between any pair of values and neither their ratio.",9.8.3.2.23,SysML2,9.8
OrdinalScale,順序尺度,"An OrdinalScale is a MeasurementScale that represents an ordinal measurement scale, i.e. a scale on which only the ordering of quantity values is meaningful, not the intervals between any pair of values and neither their ratio.","An OrdinalScale is a MeasurementScale that represents an ordinal measurement scale, i.e. a scale on which only the ordering of quantity values is meaningful, not the intervals between any pair of values and neither their ratio.",9.8.3.2.23,SysML2,9.4
originalImpliesDerived (constraint of Derivation),元要求が派生を意味する,"Whenever the originalRequirement is satisfied, all of the derivedRequirements must also be satisfied.",originalRequirement.result implies allTrue(derivedRequirements.result),9.6.2.1,SysML2,9.6
originalNotDerived (constraint of Derivation),元要求は派生ではない,The original requirement must not be a derived requirement.,derivedRequirements->excludes(originalRequirement),9.6.2.1,SysML2,9.6
originalRequirement (feature of Derivation),元要求,The single original requirement.,originalRequirement : RequirementCheck {subsets participant} Redefines DerivationConnections::originalRequirement in the context of Derivation.,9.6.2.1,SysML2,9.6
OriginalRequirementMetadata,元要求メタデータ,OriginalRequirementMetadata (short name original) identifies a Usage as an original requirement. It is intended to be used to tag the original requirement end of a Derivation.,OriginalRequirementMetadata (short name original) identifies a Usage as an original requirement.,9.6.3.2.3,SysML2,9.4
OriginalRequirementMetadata,元要求メタデータ,OriginalRequirementMetadata (short name original) identifies a Usage as an original requirement. It is intended to be used to tag the original requirement end of a Derivation.,OriginalRequirementMetadata (short name original) identifies a Usage as an original requirement. It is intended to be used to tag the original requirement end of a Derivation.,9.6.3.2.3,SysML2,9.6
originalRequirements,元要求,originalRequirements are the original requirements in Derivation connections.,originalRequirements are the original requirements in Derivation connections.,9.6.2.2.4,SysML2,9.4
originalRequirements (Usage),元要求 (Usage),originalRequirements are the original requirements in Derivation connections.,originalRequirements are the original requirements in Derivation connections.,9.6.2.4,SysML2,9.6
Out (direction),出力 (方向),"The featuring instance itself or things ""inside"" it. These usages identify things output by an instance.","out – The featuring instance itself or things ""inside"" it. These usages identify things output by an instance.",7.6.3,SysML2,7.6
owned member,所有メンバー,"An element declared within the body of a namespace, denoting an owning membership relationship between the namespace and the member element.","In general, declaring an element within the body of a namespace denotes that the element is an owned member of the namespace—that is, that there is an owning membership relationship between the namespace and the member element.",7.5.2,SysML2,7.5
owned related elements,所有される関連要素,"Some of the related elements of a relationship (distinct from the owning related element, if any) may be owned related elements.","Some of the related elements of a relationship (distinct from the owning related element, if any) may be owned related elements.",7.2.1,SysML2,7.2-7.3
owned relationships,所有関係,The owned relationships of an element are all those relationships for which the element is the owning related element.,The owned relationships of an element are all those relationships for which the element is the owning related element.,7.2.1,SysML2,7.2-7.3
ownedActions,所有アクション,Actions that are owned by this Part.,ownedActions : Action [0..*] {subsets ownedPerformances},9.2.4.2.1,SysML2,9.2
OwnedAnnotation,所有アノテーション,An annotation that is an owned relationship.,`OwnedAnnotation : Annotation = ownedRelatedElement += AnnotatingElement`,8.2.2.4.1,SysML2,8.2
ownedPorts,所有ポート,Ports that are owned by this Part.,ownedPorts : Port [0..*] {subsets timeEnclosedOccurrences},9.2.4.2.1,SysML2,9.2
ownedStates,所有状態,StateActions that are owned by this Part.,ownedStates : StateAction [0..*] {subsets ownedActions},9.2.4.2.1,SysML2,9.2
owner,所有者,"The owner of an element (if any) is the owning related element of the owning relationship of the element (again, notice the extra level of indirection through the owning relationship).","The owner of an element (if any) is the owning related element of the owning relationship of the element (again, notice the extra level of indirection through the owning relationship).",7.2.1,SysML2,7.2-7.3
owning related element,所有関連要素,One of the related elements of a relationship may be the owning related element of the relationship.,One of the related elements of a relationship may be the owning related element of the relationship.,7.2.1,SysML2,7.2-7.3
owning relationship,所有する関係,The owning relationship of an element (if any) is the relationship for which the element is an owned related element (of which the element can have at most one).,The owning relationship of an element (if any) is the relationship for which the element is an owned related element (of which the element can have at most one).,7.2.1,SysML2,7.2-7.3
OwningMembership,所有メンバーシップ,An OwningMembership is a Membership that owns its memberElement as a ownedRelatedElement. The ownedMemberElement becomes an ownedMember of the membershipOwningNamespace.,An OwningMembership is a Membership that owns its memberElement as a ownedRelatedElement.,8.3.5.6,SysML2,8.3
Package,パッケージ,"A Package is a Namespace used to group Elements, without any instance-level semantics. It may have one or more model-level evaluable filterCondition Expressions used to filter its importedMemberships. Any imported member must meet all of the filterConditions.","A Package is a Namespace used to group Elements, without any instance-level semantics.",8.3.5.7,SysML2,8.3
Package,パッケージ,A package is a kind of namespace that is used solely as a container for other elements to organize the model.,`Package = ( ownedRelationship += PrefixMetadataMember )* PackageDeclaration PackageBody`,8.2.2.5.1,SysML2,8.2
package,パッケージ,A package is a kind of namespace that is used solely as a container for other elements to organize the model.,A package is a kind of namespace that is used solely as a container for other elements to organize the model.,7.5.1,SysML2,7.5
PackageBody,パッケージボディ,The body of a package.,`PackageBody : Package = ';' | '{' PackageBodyElement* '}'`,8.2.2.5.1,SysML2,8.2
PackageBodyElement,パッケージボディ要素,An element within a package body.,`PackageBodyElement : Package = ownedRelationship += PackageMember | ownedRelationship += ElementFilterMember | ownedRelationship += AliasMember | ownedRelationship += Import`,8.2.2.5.1,SysML2,8.2
PackageDeclaration,パッケージ宣言,The declaration part of a package.,`PackageDeclaration : Package = 'package' Identification`,8.2.2.5.1,SysML2,8.2
PackageMember,パッケージメンバー,An owned membership that is a package member.,`PackageMember : OwningMembership MemberPrefix ( ownedRelatedElement += DefinitionElement | ownedRelatedElement = UsageElement )`,8.2.2.5.1,SysML2,8.2
Packages,パッケージ,"Namespaces that contain and name elements, and, particularly, packages used to organize the elements in a model (see 7.5 ).","Namespaces that contain and name elements, and, particularly, packages used to organize the elements in a model (see 7.5 ).",7.1,SysML2,7.1
Parabola,放物線,A Parabola is a planar Path in the shape of a parabola of a given focal length.,A Parabola is a planar Path in the shape of a parabola of a given focal length.,9.7.3.2.20,SysML2,9.7
Parabola,放物線,A Parabola is a planar Path in the shape of a parabola of a given focal length.,A Parabola is a planar Path in the shape of a parabola of a given focal length.,9.7.3.2.20,SysML2,9.4
Paraboloid,放物面,A Paraboloid is a ConicSurface with only parabolic cross-sections.,A Paraboloid is a ConicSurface with only parabolic cross-sections.,9.7.3.2.21,SysML2,9.7
Paraboloid,放物面,A Paraboloid is a ConicSurface with only parabolic cross-sections.,A Paraboloid is a ConicSurface with only parabolic cross-sections.,9.7.3.2.21,SysML2,9.4
parallel (keyword),並行 (キーワード),"If the keyword parallel is added to a state definition or usage, just before the body part, then that state definition or usage becomes a parallel state, and its contained state usages can be performed concurrently (that is, ""in parallel"").","If the keyword parallel is added to a state definition or usage, just before the body part, then that state definition or usage becomes a parallel state, and its contained state usages can be performed concurrently (that is, ""in parallel"").",7.18.2,SysML2,7.18
Parallel States,並行状態,A parallel state is one whose substates are performed concurrently.,A parallel state is one whose substates are performed concurrently.,7.18,SysML2,7.18
Parameter (of an action),アクションのパラメータ,"Any directed features declared in the body of an action definition or usage are considered to be owned parameters of the action. Features with direction in are input parameters, those with direction out are output parameters, and those with direction inout are both input and output parameters.",action def TakePicture { in scene : Scene; out picture : Picture; },7.17.2,SysML2,7.17
Parameters of Interest Metadata,関心パラメータメタデータ,"This package contains definitions of metadata to identify key parameters of interest, including measures of effectiveness (MOE) and other key measures of performance (MOP).","This package contains definitions of metadata to identify key parameters of interest, including measures of effectiveness (MOE) and other key measures of performance (MOP).",9.3.4.1,SysML2,9.3
part,パート,"A part definition or usage (that is not of a more specialized kind) is declared as a kind of occurrence definition or usage (see 7.9.2 ), using the kind keyword part.",part def Person;,7.11.2,SysML2,7.11
Part,パート,Part is the most general class of objects that represent all or a part of a system.,Part is the base type of all PartDefinitions.,9.2.4.2.1,SysML2,9.2
Part,パート,"A modular unit of structure such as a system, system component, or external entity that may directly or indirectly interact with the system.","A system is modeled as a composite part, and its part usages may themselves have further composite structure.",7.11.1,SysML2,7.11
Part Definition,パート定義,"A part definition represents a modular unit of structure such as a system, system component, or external entity that may directly or indirectly interact with the system. A part definition is a kind of item definition (see 7.10 ) and, as such, defines a class of part objects that are occurrences with temporal (and possibly spatial) extent.",part def PartDef1;,7.11.1,SysML2,7.11
Part Definition (semantics),部品定義 (意味論),A PartDefinition is a kind of ItemDefinition.,"The checkPartDefinitionSpecialization constraint requires that a PartDefinition specialize the base PartDefinition Parts::Part (see 9.2.4.2.1 ), which subclassifies Items::Item (see 9.2.3.2.1 ).",8.4.7.1,SysML2,8.4
Part Usage,パート使用,"A part usage is a kind of item usage that is a usage of one or more part definitions, but may also be a usage of item definitions that are not part definitions.",part part1 : PartDef1;,7.11.1,SysML2,7.11
Part Usage (semantics),部品使用 (意味論),A PartUsage is a kind of ItemUsage.,checkPartUsageSpecialization requires that a PartUsage specialize the base PartUsage Parts::parts (see 9.2.4.2.2 ).,8.4.7.2,SysML2,8.4
participants,参加者,The end features of a connection definition or usage identify the participants in the connections that are instances of the connection definition or usage and must have multiplicity 1..1.,The end features of a connection definition or usage identify the participants in the connections that are instances of the connection definition or usage and must have multiplicity 1..1.,7.13.2,SysML2,7.13
parts,パート群,parts is the base feature of all PartUsages.,parts is the base feature of all PartUsages.,9.2.4.2.2,SysML2,9.2
Parts,パート,"Parts that are the foundational units of structure, which can be composed and interconnected, to form composite parts and entire systems (see 7.11 ).","The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Parts that are the foundational units of structure, which can be composed and interconnected, to form composite parts and entire systems (see 7.11 ).",7.1,SysML2,7.1
pass,合格,pass,pass,9.2.17.2.2,SysML2,9.2
PassIf,合格判定,PassIf returns a pass or fail VerdictKind depending on whether its argument is true or false.,PassIf returns a pass or fail VerdictKind depending on whether its argument is true or false.,9.2.17.2.1,SysML2,9.2
Path,パス,Path is the most general structured Curve.,Path is the most general structured Curve.,9.7.3.2.22,SysML2,9.7
Path,パス,Path is the most general structured Curve.,Path is the most general structured Curve.,9.7.3.2.22,SysML2,9.4
payload (AcceptMessageAction),ペイロード (メッセージ受信アクション),The payload received from the incoming Transfer.,payload : Anything [1..*] {redefines payload},9.2.10.2.3,SysML2,9.2
payload (AssignmentAction),ペイロード (割り当てアクション),The values to be assigned to the accessedFeature of the target.,replacementValues : Anything [0..*] {redefines replacementValues},9.2.10.2.6,SysML2,9.2
payload (Message),ペイロード (メッセージ),A payload that may be transferred during the interaction.,payload : Anything [1..*] {redefines payload},9.2.9.2.3,SysML2,9.2
payload (MessageAction),ペイロード (メッセージアクション),A payload that may be transferred during the interaction.,payload : Anything [0..*],9.2.9.2.4,SysML2,9.2
